Question,Response
How can I contact the international student office?,"You can reach the International Students office at international@stir.ac.uk or by calling +44 (0) 1786 466681"
Who should I contact before applying to the University of Stirling?,"For inquiries before applying, please contact the recruitment team at recruitment@stir.ac.uk or by calling +44 (0) 1786 467046"
How do I apply for postgraduate admission?,"To apply for postgraduate admission, please email postgraduate.admissions@stir.ac.uk or call +44 (0) 1786 466655"
Who should I contact for general admissions inquiries?,"For general admissions inquiries, please contact admissions@stir.ac.uk or call +44 (0) 1786 467044"
How do I inquire about UCAS Clearing at the University of Stirling?,"You can inquire about UCAS Clearing by contacting clearing@stir.ac.uk or calling +44 (0) 1786 466166"
Who can I contact for student support services?,"For student support services, you can contact ask@stir.ac.uk or call +44 (0) 1786 466022"
How can I get in touch with the Student Union?,"To contact the Student Union, email theunion@stir.ac.uk or call +44 (0) 1786 467166"
What is the contact number for general inquiries?,"For general inquiries, you can call +44 (0) 1786 473171"
Who should I contact for information on international partnerships?,"For information on international partnerships, please email internationalpartnerships@stir.ac.uk"
How do I inquire about the International Summer School?,"You can inquire about the International Summer School by emailing iss@stir.ac.uk"
How can I get in touch with the Alumni office?,"To contact the Alumni office, email alumni@stir.ac.uk"
Who should I contact for inquiries about academic registry?,"For inquiries about academic registry, please email curriculum@stir.ac.uk"
How can I get information on academic regulations?,"For information on academic regulations, email academicgovernance@stir.ac.uk"
Who should I contact for inquiries about payments?,"For inquiries about payments, email income.office@stir.ac.uk"
How do I contact the communication team?,"To contact the communication team, email communications@stir.ac.uk or call +44 (0) 1786 466687"
Who should I contact for inquiries about student programs?,"For inquiries about student programs, email studentprogrammes@stir.ac.uk"
How do I get in touch with the data protection office?,"To contact the data protection office, email data.protection@stir.ac.uk"
Who should I contact for lodging a complaint?,"For lodging a complaint, email complaints@stir.ac.uk"
How can I reach the faculty management?,"To reach the faculty management, email management@stir.ac.uk or call +44 (0) 1786 467370"
Who should I contact for inquiries about the Faculty of Science School?,"For inquiries about the Faculty of Science School, email fossfacultyoffice@stir.ac.uk or call +44 (0) 1786 467740"
How do I get information on the Faculty of Natural Sciences?,"For information on the Faculty of Natural Sciences, email naturalsciences.enquiries@stir.ac.uk or call +44 (0) 1786 467753"
Who should I contact for inquiries about the Faculty of Health Science?,"For inquiries about the Faculty of Health Science, email health.sciences@stir.ac.uk or call +44 (0) 1786 466340"
How can I contact the Faculty of Arts and Humanities?,"To contact the Faculty of Arts and Humanities, email fahfacultyoffice@stir.ac.uk or call +44 (0) 1786 467561"
Where can I find information on fees and funding support for international students?,"You can find information on fees and funding support for international students on the university website at www.stir.ac.uk"
